symbol,fold,method,y,p
AAPL,1,no_cal,1,0.6008214019172678
AAPL,1,no_cal,0,0.6960025631251351
AAPL,1,no_cal,0,0.4105474331814933
AAPL,1,no_cal,0,0.645363037204522
AAPL,1,no_cal,0,0.7758200821432659
AAPL,1,no_cal,0,0.7093482325271179
AAPL,1,no_cal,0,0.6938134905124307
AAPL,1,no_cal,0,0.4865923571690219
AAPL,1,no_cal,1,0.4879417697526567
AAPL,1,no_cal,0,0.7174428633949331
AAPL,1,no_cal,0,0.6204928046560854
AAPL,1,no_cal,0,0.5258379474352778
AAPL,1,no_cal,1,0.6902364118203816
AAPL,1,no_cal,1,0.6150235076995588
AAPL,1,no_cal,1,0.8165085074521033
AAPL,1,no_cal,1,0.660683097855893
AAPL,1,no_cal,1,0.6247943103911925
AAPL,1,no_cal,1,0.8876140683485213
AAPL,1,no_cal,1,0.5823312538127376
AAPL,1,no_cal,0,0.4167002891330155
AAPL,1,no_cal,0,0.47716412717140116
AAPL,1,no_cal,0,0.8351350396800927
AAPL,1,no_cal,0,0.6875675235719485
AAPL,1,no_cal,1,0.8310926557998796
AAPL,1,no_cal,1,0.6370544949071325
AAPL,1,no_cal,1,0.5951731719115874
AAPL,1,no_cal,1,0.5619482287419215
AAPL,1,no_cal,1,0.6006295852447231
AAPL,1,no_cal,0,0.47958045695819274
AAPL,1,no_cal,0,0.7344164549129512
AAPL,1,platt,1,0.7123962876147307
AAPL,1,platt,1,0.759913753186976
AAPL,1,platt,1,0.7652819801789683
AAPL,1,platt,1,0.6813377074043923
AAPL,1,platt,1,0.7162847023516121
AAPL,1,platt,1,0.7074429927699138
AAPL,1,platt,1,0.7240659846807032
AAPL,1,platt,1,0.7826980653884352
AAPL,1,platt,1,0.6984732685206312
AAPL,1,platt,1,0.7793471554720061
AAPL,1,platt,1,0.8040076879158403
AAPL,1,platt,1,0.7507623521279039
AAPL,1,platt,1,0.7722581128027437
AAPL,1,platt,1,0.7973800191242649
AAPL,1,platt,0,0.7293270710098602
AAPL,1,platt,0,0.7540488152689966
AAPL,1,platt,0,0.8475230892769678
AAPL,1,platt,0,0.8263818231653848
AAPL,1,platt,0,0.7290553023864139
AAPL,1,platt,0,0.6699667237185716
AAPL,1,platt,0,0.726525645342801
AAPL,1,platt,1,0.624002908451457
AAPL,1,platt,0,0.7706009031927064
AAPL,1,platt,0,0.6827110286080763
